data_hora_boletim,desc_tipo_acidente,desc_tempo,pavimento,desc_regional,origem_boletim,local_sinalizado,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,descricao_ups
01/01/2011 00:10,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0061734246.00,0079685801.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 00:20,QUEDA DE PESSOA DE VEICULO                        ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0061411252.00,0079710700.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 00:50,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,CENTRO-SUL     ,PMMG           ,,0060987128.00,0079731533.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 01:55,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0060205078.00,0079069556.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 03:30,COLISAO DE VEICULOS COM VITIMA                    ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,SIM,ACIDENTE COM VÍTIMA FATAL
01/01/2011 04:24,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,NORTE          ,PMMG           ,,0061224849.00,0080602797.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 05:00,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,NUBLADO        ,CALCAMENTO     ,NORDESTE       ,           ,,0061103942.00,0079980071.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 06:35,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,CENTRO-SUL     ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 07:50,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,NORDESTE       ,PMMG           ,,0061206150.00,0080112996.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 07:50,OUTROS COM VITIMA                                 ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0061231431.00,0079969331.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 10:00,COLISAO DE VEICULOS COM VITIMA                    ,BOM            ,ASFALTO        ,PAMPULHA       ,PMMG           ,,0060960048.00,0080206191.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 10:45,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0060047296.00,0078917452.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 11:30,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 11:40,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0060431756.00,0079457971.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 13:05,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0060323655.00,0079096036.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 15:00,ABALROAMENTO COM VITIMA                           ,,,NOROESTE       ,           ,,0060332091.00,0080055482.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 15:50,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0060390024.00,0078983429.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 16:00,OUTROS COM VITIMA                                 ,BOM            ,ASFALTO        ,               ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 17:00,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,PAMPULHA       ,PMMG           ,,0060314001.00,0080297879.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 18:00,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,NORTE          ,PMMG           ,,0060784046.00,0080982846.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 18:13,QUEDA DE PESSOA DE VEICULO                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0060459768.00,0079485186.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 18:20,OUTROS COM VITIMA                                 ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 19:20,COLISAO DE VEICULOS COM VITIMA                    ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 19:40,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,PAMPULHA       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 20:30,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0061231431.00,0079969331.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 21:00,QUEDA DE PESSOA DE VEICULO                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 21:20,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0060458031.00,0079793776.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:00,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:00,QUEDA DE PESSOA DE VEICULO                        ,BOM            ,ASFALTO        ,PAMPULHA       ,PMMG           ,,0060413747.00,0080437268.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:15,CHOQUE MECANICO COM VITIMA                        ,BOM            ,ASFALTO        ,CENTRO-SUL     ,PMMG           ,,0061156756.00,0079632317.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:30,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:30,QUEDA DE PESSOA DE VEICULO                        ,CHUVA          ,ASFALTO        ,NORTE          ,           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2011 22:50,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
