data hora_boletim,desc_tipo_acidente,desc_tempo,pavimento,desc_regional,origem_boletim,local_sinalizado,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,descricao_ups
01/01/2013 01:11,CHOQUE MECACO COM VITIMA                        ,  ,  ,               ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 01:16,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,PAMPULHA       ,PMMG           ,,0060876520.00,0080707082.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 01:48,CHOQUE MECACO COM VITIMA                        ,BOM            ,ASFALTO        ,OESTE          ,PMMG           ,,0060579317.00,0079406416.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 02:04,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,PAMPULHA       ,PMMG           ,,0060939129.00,0080265554.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 02:12,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,NORDESTE       ,PMMG           ,,0061218262.00,0080178625.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 02:32,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,PMMG           ,,0060358930.00,0079986691.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 02:38,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NORTE          ,PMMG           ,,0061213537.00,0080528760.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 04:54,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,NORTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 06:40,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NORTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 08:07,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,NOROESTE       ,PMMG           ,,0060595740.00,0079772661.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 08:23,CHOQUE MECACO COM VITIMA                        ,  ,  ,               ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 11:20,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,NOROESTE       ,POLICIA CIVIL  ,,0060475740.00,0079529767.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 11:28,CHOQUE MECACO COM VITIMA                        ,  ,  ,NOROESTE       ,             ,,0060350129.00,0079641093.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 12:10,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,BARREIRO       ,PMMG           ,,0060119795.00,0078893840.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 13:29,QUEDA DE PESSOA DE VEICULO                        ,BOM            ,ASFALTO        ,NOROESTE       ,PMMG           ,,0060669067.00,0079676830.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 15:16,CHOQUE MECACO COM VITIMA                        ,  ,  ,BARREIRO       ,PMMG           ,,0061295575.00,0079704546.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 15:43,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,               ,PMMG           ,,0061347622.00,0079589495.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 16:12,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,NORDESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 17:10,CHOQUE MECACO COM VITIMA                        ,  ,  ,NORTE          ,PMMG           ,,0061180620.00,0080521652.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 18:00,CHOQUE MECACO COM VITIMA                        ,  ,  ,NORTE          ,PMMG           ,,0061113436.00,0080952104.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 18:18,CHOQUE MECACO COM VITIMA                        ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061290166.00,0079567986.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 18:44,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0061240051.00,0079754465.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 19:17,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,BOM            ,ASFALTO        ,LESTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 19:55,ABALROAMENTO COM VITIMA                           ,  ,  ,NORDESTE       ,PMMG           ,,0061274606.00,0080059630.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 21:03,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,PAMPULHA       ,PMMG           ,,0060694722.00,0080583181.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
01/01/2013 21:16,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,NORDESTE       ,PMMG           ,,0061430214.00,0080460387.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 06:29,CHOQUE MECACO COM VITIMA                        ,  ,  ,NORTE          ,PMMG           ,,0061171693.00,0080365377.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 06:32,CHOQUE MECACO COM VITIMA                        ,  ,  ,NORDESTE       ,PMMG           ,,0060987866.00,0080106641.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 07:22,ABALROAMENTO COM VITIMA                           ,  ,  ,OESTE          ,PMMG           ,,0060813133.00,0079567469.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 10:19,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,OESTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 11:55,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061084284.00,0079752996.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 11:57,CHOQUE MECACO COM VITIMA                        ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061312908.00,0079677632.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 12:19,ABALROAMENTO COM VITIMA                           ,  ,  ,OESTE          ,PMMG           ,,0060805225.00,0079406745.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 12:35,ABALROAMENTO COM VITIMA                           ,  ,  ,LESTE          ,PMMG           ,,0061312909.00,0079677632.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 13:25,ABALROAMENTO COM VITIMA                           ,  ,  ,BARREIRO       ,PMMG           ,,0060128463.00,0078660673.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 13:30,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,OESTE          ,POLICIA CIVIL  ,,0060386165.00,0079384317.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 13:45,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,CENTRO-SUL     ,POLICIA CIVIL  ,,0060976313.00,0079636829.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 13:45,ABALROAMENTO COM VITIMA                           ,  ,  ,NORDESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 14:01,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,LESTE          ,POLICIA CIVIL  ,,0061212347.00,0079792692.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 14:09,ABALROAMENTO COM VITIMA                           ,  ,  ,NORTE          ,PMMG           ,,0061211978.00,0080400307.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 14:29,CHOQUE MECACO COM VITIMA                        ,  ,  ,CENTRO-SUL     ,PMMG           ,,0060918169.00,0079603198.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 14:47,ATROPELAMENTO DE PESSOA COM VITIMA FATAL          ,  ,  ,LESTE          ,PMMG           ,,0061344782.00,0079817407.00,SIM,SIM,ACIDENTE COM VÍTIMA FATAL
02/01/2013 15:01,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,VENDA NOVA     ,PMMG           ,,0060784046.00,0080982846.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 15:54,ABALROAMENTO COM VITIMA                           ,  ,  ,LESTE          ,PMMG           ,,0061392743.00,0079705823.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 16:04,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NORDESTE       ,PMMG           ,,0061526423.00,0080515393.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 16:12,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,PMMG           ,,0060330280.00,0080012053.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 16:39,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,NORDESTE       ,PMMG           ,,0061036298.00,0080147057.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 17:37,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061102842.00,0079330739.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 18:11,ABALROAMENTO COM VITIMA                           ,  ,  ,BARREIRO       ,PMMG           ,,0060002535.00,0079059294.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 18:23,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061175241.00,0079569329.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 18:31,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NOROESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 18:46,ABALROAMENTO COM VITIMA                           ,  ,  ,NORTE          ,PMMG           ,,0061315441.00,0080553529.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 19:23,ABALROAMENTO COM VITIMA                           ,  ,  ,OESTE          ,PMMG           ,,0060688408.00,0079622408.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 20:33,ABALROAMENTO COM VITIMA                           ,  ,  ,OESTE          ,PMMG           ,,0060938233.00,0079574279.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 21:46,CHOQUE MECACO COM VITIMA                        ,  ,  ,NORTE          ,PMMG           ,,0061319875.00,0080599247.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 22:23,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061123769.00,0079697764.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 23:12,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,BARREIRO       ,PMMG           ,,0060326709.00,0079117777.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
02/01/2013 23:42,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0060588361.00,0079575551.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 03:24,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,OESTE          ,PMMG           ,,0060613772.00,0079300879.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 06:00,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NOROESTE       ,             ,,0060958381.00,0079733592.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 07:40,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,OESTE          ,             ,,0060720863.00,0079604933.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 08:16,OUTROS COM VITIMA                                 ,  ,  ,PAMPULHA       ,             ,,0060552426.00,0079984874.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 08:59,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NORDESTE       ,PMMG           ,,0061324786.00,0080059656.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 09:21,ABALROAMENTO COM VITIMA                           ,  ,  ,VENDA NOVA     ,             ,,0060694240.00,0081000442.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 09:52,ABALROAMENTO COM VITIMA                           ,  ,  ,NORTE          ,             ,,0061192062.00,0080558664.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 11:30,CHOQUE MECACO COM VITIMA                        ,  ,  ,NOROESTE       ,             ,,0060530037.00,0079576889.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 11:37,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,             ,,0060451856.00,0079809873.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 11:51,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,PMMG           ,,0060766158.00,0079613658.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 11:51,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,VENDA NOVA     ,PMMG           ,,0060781774.00,0080963655.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 12:32,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,             ,,0060439420.00,0080155882.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 12:49,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,BOM            ,ASFALTO        ,VENDA NOVA     ,PMMG           ,,0060656677.00,0080891124.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 12:57,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,LESTE          ,             ,,0061154077.00,0079732404.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 13:05,QUEDA DE PESSOA DE VEICULO                        ,  ,  ,NORDESTE       ,             ,,0061210407.00,0080101303.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 14:42,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,LESTE          ,             ,,0061432322.00,0079750699.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 14:48,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,PAMPULHA       ,PMMG           ,,0061064076.00,0079842224.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 15:16,ABALROAMENTO COM VITIMA                           ,  ,  ,NORTE          ,             ,,0061101418.00,0080343829.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 16:05,ABALROAMENTO COM VITIMA                           ,  ,  ,BARREIRO       ,             ,,0059884629.00,0078987958.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 16:51,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,NORTE          ,CORPO DE BOMBEI,,0061093495.00,0080690680.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 17:00,CHOQUE MECACO COM VITIMA                        ,  ,  ,LESTE          ,             ,,0061459351.00,0079656763.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 17:16,ABALROAMENTO COM VITIMA                           ,  ,  ,NOROESTE       ,             ,,0060763120.00,0079646562.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 17:39,ABALROAMENTO COM VITIMA                           ,  ,  ,VENDA NOVA     ,             ,,0060628889.00,0080998133.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 17:45,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061018822.00,0079504422.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 18:52,CHOQUE MECACO COM VITIMA                        ,  ,  ,NOROESTE       ,             ,,0060817196.00,0079668422.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 18:55,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,BARREIRO       ,PMMG           ,,0060191930.00,0078895672.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 19:07,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061298898.00,0079652270.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 19:07,ABALROAMENTO COM VITIMA                           ,  ,  ,NORTE          ,             ,,0061130653.00,0080607991.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 19:15,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,BARREIRO       ,PMMG           ,,0059980222.00,0079116771.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 19:35,ABALROAMENTO COM VITIMA                           ,  ,  ,OESTE          ,             ,,0060759431.00,0079529829.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 21:24,CHOQUE MECACO COM VITIMA                        ,  ,  ,OESTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 22:16,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,NORTE          ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
03/01/2013 22:45,ABALROAMENTO COM VITIMA                           ,  ,  ,LESTE          ,PMMG           ,,0061185122.00,0079798533.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 01:25,ABALROAMENTO COM VITIMA                           ,BOM            ,ASFALTO        ,CENTRO-SUL     ,PMMG           ,,0061105685.00,0079335163.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 07:15,ABALROAMENTO COM VITIMA                           ,  ,  ,NORDESTE       ,POLICIA CIVIL  ,,0061213484.00,0080048691.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 08:01,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061070150.00,0079691462.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 08:01,ABALROAMENTO COM VITIMA                           ,  ,  ,NORDESTE       ,PMMG           ,,0000000000.00,0000000000.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 08:04,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,CORPO DE BOMBEI,,0061171500.00,0079615230.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 09:02,CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ,  ,  ,NORDESTE       ,PMMG           ,,0061201737.00,0079489473.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 10:24,ABALROAMENTO COM VITIMA                           ,  ,  ,BARREIRO       ,PMMG           ,,0059949130.00,0078876437.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 11:11,COLISAO DE VEICULOS COM VITIMA                    ,  ,  ,NORDESTE       ,PMMG           ,,0061203278.00,0080162083.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 12:01,CHOQUE MECACO COM VITIMA                        ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061176307.00,0079524084.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 12:20,ABALROAMENTO COM VITIMA                           ,  ,  ,CENTRO-SUL     ,PMMG           ,,0061045437.00,0079734272.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
04/01/2013 13:02,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ,  ,  ,OESTE          ,PMMG           ,,0060786636.00,0079587032.00,SIM,NÃO,ACIDENTE COM VÍTIMA NÃO FATAL
