data_boletim,sequencia_logradouros,tipo_logradouro,nome_logradouro,nome_bairro,descricao_tipo_bairro,numero_imovel
01/01/2013 01:11,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,                                     ,                 ,KM 20
01/01/2013 01:16,1,AVE,DOM PEDRO I                                       ,ITAPOA                                            ,BAIRRO                        ,1800
01/01/2013 01:48,1,RUA,REGIA                                             ,NOVA CINTRA                                       ,BAIRRO                        ,335
01/01/2013 02:04,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,INDAIA                                            ,VILA                          ,4330
01/01/2013 02:12,1,AVE,CRISTIANO MACHADO                                 ,IPIRANGA                                          ,BAIRRO                        ,3435
01/01/2013 02:32,1,AVE,AMINTAS JACQUES DE MORAES                         ,SAO SALVADOR                                      ,BAIRRO                        ,12
01/01/2013 02:38,1,RUA,WALDOMIRO LOBO                                    ,GUARANI                                           ,BAIRRO                        ,1130
01/01/2013 04:54,1,ROD,PREFEITO AMERICO GIANETTI                         ,CANAA                                             ,BAIRRO                        ,KM 15
01/01/2013 06:40,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,                                     ,                 ,KM 15
01/01/2013 08:07,1,RUA,MONTE LIBANO                                      ,PADRE EUSTAQUIO                                   ,BAIRRO                        ,0
01/01/2013 08:07,2,RUA,PARA DE MINAS                                     ,PADRE EUSTAQUIO                                   ,BAIRRO                        ,0
01/01/2013 08:23,1,AVE,TEREZA CRISTINA                                   ,                                     ,                 ,5680
01/01/2013 11:20,1,AVE,PRESIDENTE JUSCELINO KUBITSCHEK                   ,VILA OESTE                                        ,VILA                          ,950
01/01/2013 11:28,1,RUA,DELFIM VIEIRA COELHO                              ,CALIFORNIA                                        ,BAIRRO                        ,49
01/01/2013 12:10,1,AVE,WALDYR SOEIRO EMRICH                              ,OLARIA                                            ,BAIRRO                        ,5194
01/01/2013 13:29,1,AVE,TERESA CRISTINA                                   ,CORACAO EUCARISTICO                               ,BAIRRO                        ,2990
