data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
01/01/2012 00:11,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 00:16,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 00:43,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 01:08,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 02:33,1,PARTICULAR                    ,AUTOMOVEL                     ,               ,VIATURA PMMG        
01/01/2012 02:33,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 02:36,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 02:37,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 03:27,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 04:21,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 04:30,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
01/01/2012 04:30,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2012 04:40,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 04:40,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 04:58,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 05:14,1,                 ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
01/01/2012 05:58,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
01/01/2012 05:58,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
